sample	breakpoint	score
4043A_1	68404676	1
4043A_1	68461078	1
4043A_1	68735825	3
4043A_1	68739355	3
4043A_1	69357846	2
4043A_1	69461191	7
4043A_1	70567500	1
4043A_1	73115855	1
4043A_1	73128010	1
4043A_1	73128156	1
4043A_1	73129098	1
4043A_1	73214296	3
4043A_1	73527406	1
4043A_1	73527691	1
4043A_1	73530037	1
4043A_1	73901416	1
4043A_1	73911571	4
4043A_1	73912638	4
4043A_1	73912724	4
4043A_1	74332219	2
4043A_1	75498212	3
4043A_1	75501680	3
4043A_1	75505936	3
4043A_1	77648578	2
4043A_1	77684095	1
4043A_1	77690044	3
4043A_1	77690283	3
4043A_1	77692030	3
4043A_1	78142015	3
4043A_1	78142053	3
4043A_1	78142259	3
4043A_1	78143991	3
4043A_1	78150337	2
4043A_1	78342539	1
4043A_1	78342552	1
4043A_1	78605483	3
4043A_1	78610628	3
4043A_1	78610644	3
4043A_1	78613588	3
4043A_1	78681541	1
4043A_1	78772853	1
4043A_1	78774370	1
4043A_1	78777355	1
4043A_1	79547983	1
4043A_1	80677164	3
4043A_1	81208313	2
4043A_1	81262727	6
4043A_1	81287598	1
4043A_1	81760929	2
4043A_1	83561745	1
4043A_1	84870817	1
4043A_1	85023373	4
4043A_1	85137876	1
4043A_1	85250949	1
4043A_1	85251753	1
4043A_1	85616777	1
4043A_1	85617774	1
4043A_1	86171530	1
4043A_1	86313487	4
4043A_1	86313491	4
4043A_1	86363119	1
4043A_1	87413325	1
4043A_1	87414344	1
4043A_1	90535902	1
4043A_1	91804096	4
4043A_1	100379102	3
4043A_1	100379345	3
4043A_1	105317065	1
4043A_1	106051605	8
4043A_1	107955524	1
4043A_1	110143613	1
4043A_1	115441337	1
4043A_1	118015681	3
4043A_1	118016441	3
4043A_1	122044097	1
4043A_1	122097906	1
4043A_1	122709677	1
4043A_1	122729426	1
4043A_1	122731287	1
4043A_1	123019535	6
4043A_1	124042743	1
4043A_1	124288910	1
4043A_1	124289747	1
4043A_1	126838797	1
4043A_1	131102127	1
4043A_1	131102147	1
4043A_1	134689049	1
4043A_1	142648143	1
4043A_1	146033456	1
4043A_1	151708515	3
4043A_1	153190722	1
4043A_1	153650162	2
4043A_1	153650283	2
4043A_1	153650462	2
4043A_1	153650632	3
4043A_1	153659981	11
4043A_1	153899478	3
4043A_1	153900471	3
4043A_1	153900473	3
4043A_1	160574764	1
4043A_1	173702554	1
4043A_1	173702579	1
4043A_1	173702595	1
4043A_1	173703053	1
4043A_1	173703087	1
4043A_1	173703142	1
4043A_1	173703163	1
4043A_1	175389039	1
4043A_1	177411297	3
4043A_1	186788422	9
4043A_1	186793762	9
4043A_1	186794050	9
4043A_4	242050	1
4043A_4	242485	1
4043A_4	249989	1
4043A_4	272220	1
4043A_4	647696	1
4043A_4	648256	1
4043A_4	2638217	1
4043A_4	2909013	1
4043A_4	2913545	1
4043A_4	3093309	2
4043A_4	3215722	3
4043A_4	3482930	8
4043A_4	3483227	8
4043A_4	3490815	8
4043A_4	3492980	8
4043A_4	3534752	4
4043A_4	3595996	1
4043A_4	3644158	1
4043A_4	3644441	1
4043A_4	3813335	3
4043A_4	3820857	3
4043A_4	3821241	3
4043A_4	3821605	3
4043A_4	3823539	3
4043A_4	4501645	1
4043A_4	4625392	2
4043A_4	4625716	2
4043A_4	4988900	3
4043A_4	5239241	1
4043A_4	5239878	1
4043A_4	5240049	1
4043A_4	6823946	1
4043A_4	7005436	4
4043A_4	7262411	2
4043A_4	7323752	7
4043A_4	7324662	8
4043A_4	7337436	10
4043A_4	7338194	10
4043A_4	8492151	5
4043A_4	8493456	5
4043A_4	8574372	1
4043A_4	11329680	1
4043A_4	12625599	3
4043A_4	12865436	1
4043A_4	13444540	3
4043A_4	13698566	1
4043A_4	14775260	1
4043A_4	14775931	1
4043A_4	14775943	1
4043A_4	16013466	1
4043A_4	16552259	1
4043A_4	17059300	1
4043A_4	18357267	1
4043A_4	20302253	1
4043A_4	21068381	1
4043A_4	21078658	1
4043A_4	21736775	1
4043A_4	21736816	1
4043A_4	21737205	1
4043A_4	22051965	1
4043A_4	23579784	1
4043A_4	23664873	3
4043A_4	24380963	1
4043A_4	27314164	1
4043A_4	27903289	1
4043A_4	27903502	1
4043A_4	27904127	1
4043A_4	27907124	1
4043A_4	27907136	1
4043A_4	27907277	1
4043A_4	27907298	1
4043A_4	27907370	1
4043A_4	27907394	1
4043A_4	27909172	2
4043A_4	27909291	1
4043A_4	27909321	1
4043A_4	27910818	1
4043A_4	27910877	1
4043A_4	27910889	1
4043A_4	27913305	1
4043A_4	28320820	1
4043A_4	28335770	1
4043A_4	28635117	2
4043A_4	28637273	2
4043A_4	28637306	2
4043A_4	29661197	1
4043A_4	30027148	1
4043A_4	30321692	5
4043A_4	30349282	1
4043A_4	30353818	2
4043A_4	31132863	2
4043A_4	31133177	2
4043A_4	31133227	2
4043A_4	31133712	2
4043A_4	31357940	3
4043A_4	34441952	3
4043A_4	34455118	2
4043A_4	34456769	1
4043A_4	34707122	3
4043A_4	34973041	8
4043A_4	37033627	1
4043A_4	37518215	4
4043A_4	37527839	4
4043A_4	38412225	1
4043A_4	40540140	1
4043A_4	40569794	1
4043A_4	41135287	1
4043A_4	41330866	3
4043A_4	41336176	3
4043A_4	41337786	3
4043A_4	42965689	2
4043A_4	45561125	2
4043A_4	45600595	3
4043A_4	45977010	3
4043A_4	46073797	7
4043A_4	49428310	1
4043A_4	52448544	1
4043A_4	52448565	1
4043A_4	52448579	1
4043A_4	52448724	1
4043A_4	52448731	1
4043A_4	52448739	1
4043A_4	52448747	1
4043A_4	52448753	1
4043A_4	52449378	1
4043A_4	52449425	1
4043A_4	52449474	1
4043A_4	52449564	1
4043A_4	52450433	1
4043A_4	52450467	1
4043A_4	52451447	1
4043A_4	52452598	1
4043A_4	52452627	1
4043A_4	52453540	1
4043A_4	52453735	1
4043A_4	52458500	1
4043A_4	52458711	1
4043A_4	52459054	1
4043A_4	52459672	1
4043A_4	52459684	2
4043A_4	52459758	2
4043A_4	52460057	1
4043A_4	52460183	2
4043A_4	52460258	1
4043A_4	53812056	1
4043A_4	53813013	1
4043A_4	53819629	1
4043A_4	53819890	1
4043A_4	55007485	1
4043A_4	55142650	1
4043A_4	55142849	1
4043A_4	55143016	1
4043A_4	55143335	1
4043A_4	55143756	1
4043A_4	55145525	1
4043A_4	55146936	1
4043A_4	55148225	1
4043A_4	55582820	1
4043A_4	55585515	1
4043A_4	55586981	1
4043A_4	55685881	2
4043A_4	56329669	9
4043A_4	56334977	10
4043A_4	56337919	10
4043A_4	56971627	3
4043A_4	57652629	9
4043A_4	57652630	9
4043A_4	57659721	14
4043A_4	57667334	10
4043A_4	57667658	10
4043A_4	57730456	1
4043A_4	57734383	1
4043A_4	58728806	1
4043A_4	58758832	1
4043A_4	59469843	1
4043A_4	59617380	7
4043A_4	59691933	2
4043A_4	59709145	1
4043A_4	59840500	3
4043A_4	59841323	3
4043A_4	60537662	3
4043A_4	61999851	7
4043A_4	61999852	7
4043A_4	62510471	2
4043A_4	63195549	3
4043A_4	63257225	1
4043A_4	65151100	1
4043A_4	65177929	1
4043A_4	65177995	1
4043A_4	65178026	1
4043A_4	65178037	1
4043A_4	65178147	1
4043A_4	65178153	1
4043A_4	65178331	1
4043A_4	65178433	1
4043A_4	65178434	1
4043A_4	65178445	1
4043A_4	65178469	2
4043A_4	65351149	1
4043A_4	65955470	1
4043A_4	66108597	3
4043A_4	66512652	1
4043A_4	66537978	1
4043A_4	66697806	1
4043A_4	66698111	1
4043A_4	66999192	1
4043A_4	67182975	1
4043A_4	68052315	1
4043A_4	68052359	1
4043A_4	68054815	2
4043A_4	68054905	2
4043A_4	68060061	6
4043A_4	68078336	5
4043A_4	68160861	6
4043A_4	68164027	6
4043A_4	68164051	6
4043A_4	68392655	1
4043A_4	68392703	1
4043A_4	68392705	1
4043A_4	68392745	1
4043A_4	68403464	1
4043A_4	68404675	1
4043A_4	68461078	1
4043A_4	69133350	1
4043A_4	69357846	2
4043A_4	69394335	1
4043A_4	69461191	8
4043A_4	70567500	1
4043A_4	72182023	1
4043A_4	73115727	1
4043A_4	73128014	1
4043A_4	73129098	1
4043A_4	73214296	3
4043A_4	73527684	1
4043A_4	73527691	1
4043A_4	73530037	1
4043A_4	73901416	1
4043A_4	73912647	4
4043A_4	73912724	4
4043A_4	74332219	2
4043A_4	75497378	3
4043A_4	75498212	3
4043A_4	75505936	3
4043A_4	75508338	3
4043A_4	75508591	3
4043A_4	77112708	1
4043A_4	77147249	1
4043A_4	77648578	3
4043A_4	77684095	1
4043A_4	77690044	3
4043A_4	77690283	3
4043A_4	77922255	1
4043A_4	78342715	2
4043A_4	78613588	3
4043A_4	78772854	1
4043A_4	78774370	1
4043A_4	78777355	1
4043A_4	79547983	1
4043A_4	80677164	3
4043A_4	81115249	1
4043A_4	81208314	2
4043A_4	81287598	1
4043A_4	81759235	1
4043A_4	81760929	1
4043A_4	83561745	1
4043A_4	84870817	1
4043A_4	85137963	1
4043A_4	85251753	1
4043A_4	85616775	1
4043A_4	86171530	1
4043A_4	86171766	1
4043A_4	86313487	6
4043A_4	86313491	6
4043A_4	86313717	6
4043A_4	86339991	1
4043A_4	86363119	1
4043A_4	86363148	1
4043A_4	87413317	1
4043A_4	87414344	1
4043A_4	88035962	1
4043A_4	90535902	1
4043A_4	91267573	1
4043A_4	91804100	4
4043A_4	97860493	1
4043A_4	100379103	3
4043A_4	100379345	3
4043A_4	103519165	1
4043A_4	105317065	1
4043A_4	106051605	5
4043A_4	110143613	1
4043A_4	115441337	1
4043A_4	117145463	1
4043A_4	118015681	3
4043A_4	118016440	3
4043A_4	121716418	1
4043A_4	122044097	1
4043A_4	122097906	1
4043A_4	122729426	2
4043A_4	122731285	2
4043A_4	123019537	6
4043A_4	124040779	1
4043A_4	124042743	1
4043A_4	124288910	1
4043A_4	124289747	1
4043A_4	131102127	1
4043A_4	131102152	1
4043A_4	134689049	1
4043A_4	142648143	1
4043A_4	146033456	1
4043A_4	149313571	1
4043A_4	150273788	1
4043A_4	151708515	3
4043A_4	153650162	3
4043A_4	153650283	3
4043A_4	153650632	4
4043A_4	153659981	14
4043A_4	153899478	2
4043A_4	153900471	2
4043A_4	153900473	2
4043A_4	162688597	1
4043A_4	173702554	1
4043A_4	173702579	1
4043A_4	173702887	1
4043A_4	173703034	1
4043A_4	173703053	1
4043A_4	173703087	1
4043A_4	173703142	1
4043A_4	174000913	1
4043A_4	174001075	1
4043A_4	175060641	1
4043A_4	175389039	2
4043A_4	177411297	3
4043A_4	177411373	3
4043A_4	181549971	1
4043A_4	186351170	1
4043A_4	186788422	10
4043A_4	186793762	10
4043A_4	186793810	10
4043A_4	186794200	10
4043A_4	192427804	1
4333	88414258	2
4333	100206909	2
4333	100221506	1
4333	100221509	1
4333	100959087	1
4333	102591310	2
4333	103203999	1
4333	103273505	4
4333	103462034	1
4333	105004756	1
4333	105050205	1
4333	115963010	2
4333	115972218	2
4333	157429692	4
4333	164201250	1
4333	183602512	1
4333	186793681	1
4333	186794726	1
4856_1	11502669	1
4856_1	17922842	1
4856_1	17924561	1
4856_1	17925287	1
4856_1	18110064	1
4856_1	23111578	8
4856_1	24069260	2
4856_1	25193559	3
4856_1	25431272	5
4856_1	35446961	3
4856_1	38018061	5
4856_1	38020608	5
4856_1	38021018	5
4856_1	42333534	2
4856_1	50992284	1
4856_1	56684845	1
4856_1	57545177	1
4856_1	58575451	1
4856_1	58576752	1
4856_1	60388218	1
4856_1	60390425	1
4856_1	61504060	1
4856_1	61505860	1
4856_1	65614770	3
4856_1	85180307	1
4856_1	91983071	1
4856_1	115239413	1
4856_1	125721242	1
4856_1	127081426	1
4856_1	145227208	1
4856_1	147060948	1
4856_1	152243165	4
4856_3	11502668	1
4856_3	14340297	1
4856_3	17922842	1
4856_3	17924561	1
4856_3	17925287	1
4856_3	17927533	1
4856_3	25193559	3
4856_3	25193560	3
4856_3	35446960	3
4856_3	38017975	8
4856_3	38020608	8
4856_3	55392619	5
4856_3	57545177	1
4856_3	58562552	1
4856_3	58575451	1
4856_3	58576752	1
4856_3	60388194	1
4856_3	60390425	1
4856_3	61504060	1
4856_3	61505860	1
4856_3	65614758	3
4856_3	84254671	1
4856_3	85180307	1
4856_3	125721270	1
4856_3	126443247	1
4856_3	144687885	1
4856_3	145227208	1
4856_3	147060948	1
4856_3	152243165	3
